summary_new_method,folder,inner_folder,average_diff
base,37-taxon,estimated-genetrees/1X-200-500,2.152889
unrooted,37-taxon,estimated-genetrees/1X-200-500,3.640170
weighted_2_terminal,37-taxon,estimated-genetrees/1X-200-500,11.472225
weighted_3_terminal,37-taxon,estimated-genetrees/1X-200-500,12.070162

base,37-taxon,estimated-genetrees/1X-200-1000,1.472181
unrooted,37-taxon,estimated-genetrees/1X-200-1000,2.320493
weighted_2_terminal,37-taxon,estimated-genetrees/1X-200-1000,8.171662
weighted_3_terminal,37-taxon,estimated-genetrees/1X-200-1000,8.538544

base,37-taxon,estimated-genetrees/1X-400-500,6.486512
unrooted,37-taxon,estimated-genetrees/1X-400-500,10.206652
weighted_2_terminal,37-taxon,estimated-genetrees/1X-400-500,44.156303
weighted_3_terminal,37-taxon,estimated-genetrees/1X-400-500,46.304554

base,37-taxon,estimated-genetrees/1X-400-1000,3.573159
unrooted,37-taxon,estimated-genetrees/1X-400-1000,5.377467
weighted_2_terminal,37-taxon,estimated-genetrees/1X-400-1000,29.109742
weighted_3_terminal,37-taxon,estimated-genetrees/1X-400-1000,30.575152

base,37-taxon,estimated-genetrees/1X-800-500,15.263560
unrooted,37-taxon,estimated-genetrees/1X-800-500,26.261872
weighted_2_terminal,37-taxon,estimated-genetrees/1X-800-500,926.673377
weighted_3_terminal,37-taxon,estimated-genetrees/1X-800-500,178.159416

base,37-taxon,estimated-genetrees/1X-800-1000,6.898750
unrooted,37-taxon,estimated-genetrees/1X-800-1000,11.743560
weighted_2_terminal,37-taxon,estimated-genetrees/1X-800-1000,103.230990
weighted_3_terminal,37-taxon,estimated-genetrees/1X-800-1000,107.860593

base,37-taxon,estimated-genetrees/2X-200-500,1.082863
unrooted,37-taxon,estimated-genetrees/2X-200-500,1.811075
weighted_2_terminal,37-taxon,estimated-genetrees/2X-200-500,6.391415
weighted_3_terminal,37-taxon,estimated-genetrees/2X-200-500,6.748288

