summary_new_method,folder,inner_folder,average_rf
base,37-taxon,estimated-genetrees/1X-200-500,0.036765
unrooted,37-taxon,estimated-genetrees/1X-200-500,0.035294
weighted_2_terminal,37-taxon,estimated-genetrees/1X-200-500,0.035294
weighted_3_terminal,37-taxon,estimated-genetrees/1X-200-500,0.038235

base,37-taxon,estimated-genetrees/1X-200-1000,0.026471
unrooted,37-taxon,estimated-genetrees/1X-200-1000,0.036765
weighted_2_terminal,37-taxon,estimated-genetrees/1X-200-1000,0.022059
weighted_3_terminal,37-taxon,estimated-genetrees/1X-200-1000,0.022059

base,37-taxon,estimated-genetrees/1X-400-500,0.015480
unrooted,37-taxon,estimated-genetrees/1X-400-500,0.023220
weighted_2_terminal,37-taxon,estimated-genetrees/1X-400-500,0.020124
weighted_3_terminal,37-taxon,estimated-genetrees/1X-400-500,0.013932

base,37-taxon,estimated-genetrees/1X-400-1000,0.008824
unrooted,37-taxon,estimated-genetrees/1X-400-1000,0.022059
weighted_2_terminal,37-taxon,estimated-genetrees/1X-400-1000,0.010294
weighted_3_terminal,37-taxon,estimated-genetrees/1X-400-1000,0.008824

base,37-taxon,estimated-genetrees/1X-800-500,0.007353
unrooted,37-taxon,estimated-genetrees/1X-800-500,0.026471
weighted_2_terminal,37-taxon,estimated-genetrees/1X-800-500,0.010294
weighted_3_terminal,37-taxon,estimated-genetrees/1X-800-500,0.007353

base,37-taxon,estimated-genetrees/1X-800-1000,0.000000
unrooted,37-taxon,estimated-genetrees/1X-800-1000,0.014706
weighted_2_terminal,37-taxon,estimated-genetrees/1X-800-1000,0.001471
weighted_3_terminal,37-taxon,estimated-genetrees/1X-800-1000,0.000000

base,37-taxon,estimated-genetrees/2X-200-500,0.032353
unrooted,37-taxon,estimated-genetrees/2X-200-500,0.045588
weighted_2_terminal,37-taxon,estimated-genetrees/2X-200-500,0.033824
weighted_3_terminal,37-taxon,estimated-genetrees/2X-200-500,0.033824

